http://104.129.203.245:10139  # response: 7052.19ms
http://104.129.203.247:10810  # response: 4950.18ms
http://104.129.203.245:10733  # response: 4562.73ms
http://104.129.203.247:11561  # response: 11076.55ms
http://104.129.203.247:11211  # response: 6180.46ms
http://104.129.203.247:11011  # response: 8091.02ms
http://104.129.203.247:10809  # response: 1958.15ms
http://104.129.203.245:10470  # response: 1139.23ms
http://104.129.203.247:11383  # response: 10095.4ms
http://104.129.203.245:11679  # response: 3042.04ms
http://104.129.203.245:11640  # response: 2605.16ms
http://104.129.203.245:11697  # response: 5192.56ms
http://188.40.57.101:80  # response: 397.97ms
http://190.242.157.215:8080  # response: 772.75ms
http://120.92.212.16:8890  # response: 894.6ms
http://192.73.244.36:80  # response: 497.06ms
http://104.129.203.245:8800  # response: 7680.86ms
http://51.8.61.60:80  # response: 256.34ms
http://89.110.115.238:80  # response: 608.13ms
http://23.247.136.254:80  # response: 476.52ms
http://183.215.23.242:9091  # response: 998.34ms
http://176.126.164.213:80  # response: 673.11ms
http://116.171.106.78:3000  # response: 974.58ms
http://61.158.175.38:9002  # response: 923.13ms
http://104.129.203.245:11692  # response: 7966.68ms
http://58.216.109.14:800  # response: 958.15ms
http://103.118.46.64:8080  # response: 1031.97ms
http://36.138.53.26:10017  # response: 937.94ms
http://211.230.49.122:3128  # response: 1136.97ms
http://104.129.203.247:11692  # response: 10355.7ms
socks5://104.37.135.145:4145  # response: 1143.09ms
http://218.77.183.214:5224  # response: 925.28ms
http://210.209.236.242:80  # response: 2078.52ms
http://101.47.16.15:7890  # response: 3239.77ms
http://159.203.61.169:8080  # response: 927.93ms
http://198.199.86.11:80  # response: 432.07ms
socks5://72.37.216.68:4145  # response: 1164.64ms
http://176.236.46.147:80  # response: 686.38ms
socks4://98.182.171.161:4145  # response: 766.04ms
socks5://68.71.249.153:48606  # response: 1057.82ms
http://12.50.107.220:80  # response: 1520.95ms
socks5://68.71.252.38:4145  # response: 1057.06ms
http://103.75.119.185:80  # response: 5658.42ms
socks4://98.178.72.21:10919  # response: 2276.27ms
http://12.50.107.222:80  # response: 3431.14ms
socks4://8.215.47.191:10080  # response: 2564.32ms
socks4://192.111.138.29:4145  # response: 980.29ms
socks4://67.201.58.190:4145  # response: 835.24ms
socks4://67.201.35.145:4145  # response: 850.32ms
socks5://192.252.209.158:4145  # response: 869.36ms
